Institute,Academic Program Name,Quota,Seat Type,Gender,OR1,CR1,OR2,CR2,OR3,CR3,OR4,CR4,OR5,CR5,OR6,CR6,Index
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Female-only (including Supernumerary),21386,21386,30648,37952,22031,32375,3225,5556,14260,14260,1335,1335,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,EWS,Gender-Neutral,6187,17623,35327,42321,574,574,14260,14260,5620,21171,9929,12426,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Gender-Neutral,22945,24765,1016,1016,3225,5556,5620,21171,9167,28330,12351,19449,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,SC,Gender-Neutral,7869,18042,6010,6225,14260,14260,9167,28330,652,3110,214,214,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,SC,Female-only (including Supernumerary),19407,19407,7291,7291,5620,21171,652,3110,4808,5357,1804,1857,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,ST,Gender-Neutral,3844,3844,12139,13339,9167,28330,4808,5357,353,1483,3315,3315,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,ST,Female-only (including Supernumerary),6645,6645,16601,18065,652,3110,353,1483,1335,1335,107,107,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,17250,17250,6992,7140,4808,5357,1335,1335,9929,11697,2976,4232,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,4817,4817,8192,8192,353,1483,9408,11606,12351,18894,7817,9419,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),37393,37393,2030,2209,1335,1335,10920,18502,214,214,215,215,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,6763,9930,52020,84607,9408,11606,214,214,1665,1808,1500,2497,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),15118,15416,98643,111603,10920,18502,1665,1808,3315,3315,1266,3296,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1397,1397,2182,2182,214,214,3315,3315,107,107,424,813,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3406,3999,14350,14732,1665,1808,107,107,2976,4000,1779,1779,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),4155,4155,20413,20413,3315,3315,2976,3969,7817,9419,21829,25679,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1816,1979,32472,81545,107,107,7817,9419,215,215,35556,35556,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3129,3129,39603,98660,2976,3969,215,215,1500,2292,8694,8854,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC (PwD),Gender-Neutral,53,53,8903,10840,7817,9419,1500,2292,1266,3296,12082,16362,31
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,236,236,10082,12289,215,215,1266,3296,424,813,41690,47864,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Gender-Neutral,37046,41717,1615,3397,1500,2292,424,813,1779,1779,3402,3702,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Female-only (including Supernumerary),46339,46339,4931,4931,1266,3296,1779,1779,21829,25679,1583,1583,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,EWS,Gender-Neutral,42526,42526,32678,43211,424,813,21829,25679,35556,35556,10683,14111,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Gender-Neutral,44695,45346,46525,50324,1779,1779,35556,35556,8694,8854,22409,22409,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Female-only (including Supernumerary),48068,48068,6949,7000,21829,25679,5874,8694,12082,16362,441,441,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,SC,Gender-Neutral,21287,21287,8177,8177,35556,35556,12082,16362,41690,47864,2159,2159,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,ST,Gender-Neutral,4093,4093,12145,14543,5874,8694,41690,47864,3402,3702,4204,4977,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GO,ST,Female-only (including Supernumerary),7215,7215,18202,18552,12082,16362,3402,3702,1583,1583,9965,9965,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,43258,43258,5544,6862,41690,47864,1583,1583,10683,13134,2502,2502,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),125498,125498,7296,9485,3402,3702,10683,13134,22409,22409,3347,3347,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,28336,28336,1544,1968,1583,1583,18894,18894,441,441,1609,1609,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6485,6485,3275,3275,10683,13134,441,441,1925,1925,42128,63384,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,17835,20405,11293,21630,18894,18894,1925,1925,4204,4977,63462,86404,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),21693,21693,22031,32375,441,441,4204,4977,9965,9965,3030,3030,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,758,758,574,574,1925,1925,9965,9965,2502,2502,10938,12413,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3028,3414,3225,5556,4204,4977,2502,2502,3347,3347,17062,17062,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4527,4527,14260,14260,9965,9965,3347,3347,1609,1609,22605,56384,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,6253,6539,5620,21171,2502,2502,1609,1609,42128,62460,28779,72823,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),10391,10391,9167,28330,3347,3347,42128,62460,63462,86404,4903,8324,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3941,4219,652,3110,1609,1609,63462,86404,3030,3030,13665,13665,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),6164,6164,4808,5357,42128,62460,3030,3030,10938,12413,2577,2857,31
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1592,1592,353,1483,63462,86404,10938,12268,17062,17062,4307,4307,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Gender-Neutral,18387,30479,1335,1335,3030,3030,17062,17062,22605,56384,22648,26867,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Female-only (including Supernumerary),25176,25176,9408,11205,10938,12268,22605,56384,28779,72823,30082,35463,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GO,EWS,Gender-Neutral,31594,31594,10920,18502,17062,17062,28779,72823,4903,7830,1406,1406,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Gender-Neutral,30903,44081,214,214,22605,56384,4903,7830,13665,13665,4227,4435,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Female-only (including Supernumerary),39889,39889,1620,1804,28779,72823,13665,13665,2464,2608,6070,6070,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GO,SC,Gender-Neutral,18727,20284,3315,3315,4903,7830,2464,2608,4307,4307,7222,8853,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,24483,24483,107,107,13665,13665,4307,4307,17285,25389,13380,14464,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),68268,68268,2976,3969,2464,2608,17285,25362,28767,33374,3924,5002,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,19227,19227,7817,8861,4307,4307,28767,31791,1406,1406,5004,7209,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1495,1495,215,215,17285,24955,1406,1406,4023,4227,1820,2047,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,12599,15535,1500,2292,28767,31791,4023,4212,5562,5562,2878,2878,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),21198,21198,1266,3296,1406,1406,5562,5562,7222,8740,24863,44804,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2320,2440,424,813,4023,4201,7222,8736,13380,14418,40825,49298,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4130,4130,1779,1779,5562,5562,13380,14418,3924,4896,1106,1106,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5555,5669,21829,25679,7222,8736,3924,4896,5004,7209,9406,10709,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),9810,9810,35556,35556,13380,14418,5004,7209,1820,2047,16721,16721,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2598,3148,5874,8694,3924,4896,1820,2047,2878,2878,22986,43753,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,871,871,12082,16362,5004,7209,2878,2878,24863,42992,35964,56054,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2046,2046,41690,47864,1820,2047,24863,42992,40825,49298,4244,6891,31
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST (PwD),Gender-Neutral,77,77,3402,3702,2878,2878,40825,49298,1106,1106,9332,9402,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Gender-Neutral,47647,53652,1583,1583,24863,42992,1106,1106,9406,10709,1690,2464,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,OPEN,Female-only (including Supernumerary),78057,78057,10683,13130,40825,49298,9406,10709,16721,16721,1926,1926,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,EWS,Gender-Neutral,84722,84722,18894,18894,1106,1106,16721,16721,22986,43753,15797,18163,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Gender-Neutral,36256,56154,441,441,9406,10709,22986,43753,35964,56054,23888,27068,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,OBC-NCL,Female-only (including Supernumerary),108732,108732,1879,1879,16721,16721,35964,56054,4244,6891,965,965,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,SC,Gender-Neutral,26161,59441,4204,4977,22986,43753,4244,6891,9332,9402,3005,3123,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,ST,Gender-Neutral,4733,4733,9965,9965,35964,56054,9332,9402,1690,2397,4466,4466,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,45472,46258,2502,2502,4244,6891,1690,2397,1926,1926,225,225,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,19476,19476,3347,3347,9332,9402,1926,1926,14697,17582,5356,6372,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),39117,39117,1609,1609,1690,2397,14697,17576,23580,25305,10071,12715,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,26623,28837,42128,61796,1926,1926,23580,25305,965,965,403,403,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),35547,37002,63462,86404,14697,17576,965,965,2618,2954,2819,3371,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4965,4965,3030,3030,23580,25305,2618,2954,4466,4466,4797,4797,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8019,9340,10938,12268,965,965,4466,4466,225,225,1585,1587,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),13824,13824,17062,17062,2618,2954,225,225,5356,6328,2519,2542,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,523,523,22605,56384,4466,4466,5356,6328,9937,11380,45470,50674,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5027,5155,28779,72823,225,225,9937,11380,403,403,50033,50033,31
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1791,1791,4903,7830,5356,6328,403,403,2819,3371,1862,1862,31
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,OPEN,Gender-Neutral,1565,5337,13665,13665,9937,11380,2819,3371,4797,4797,12268,12268,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,OPEN,Female-only (including Supernumerary),1181,2689,2464,2608,403,403,4797,4797,1585,1587,26553,48568,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,EWS,Gender-Neutral,1988,3255,4307,4307,2819,3371,1585,1587,2519,2542,57016,57016,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,EWS,Female-only (including Supernumerary),886,886,17285,24337,4797,4797,2519,2542,43129,45470,6050,6050,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Gender-Neutral,2250,18405,28767,31791,1585,1587,43129,45470,50033,50033,9330,9330,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Female-only (including Supernumerary),6608,16636,1406,1406,2519,2542,50033,50033,1862,1862,2651,2651,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,SC,Gender-Neutral,568,1763,3738,4023,43129,45470,1862,1862,12268,12268,19830,21405,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,SC,Female-only (including Supernumerary),1105,1105,5562,5562,50033,50033,11121,11121,26553,48568,31791,31791,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HS,ST,Gender-Neutral,222,248,7222,8498,1862,1862,26553,48568,57016,57016,3378,3457,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Gender-Neutral,642,708,13380,14418,11121,11121,57016,57016,6050,6050,5788,6887,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Female-only (including Supernumerary),300,624,1157,1157,26553,48568,6050,6050,9330,9330,13135,13859,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,EWS,Gender-Neutral,128,136,3924,4884,57016,57016,9330,9330,2651,2651,3492,3781,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Gender-Neutral,299,352,5004,7209,6050,6050,2651,2651,16588,19830,1873,1873,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female-only (including Supernumerary),273,273,1820,2047,9330,9330,16588,19830,26724,26724,85414,98336,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,SC,Gender-Neutral,106,206,2878,2878,2651,2651,26724,26724,2945,3028,87674,93565,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,SC,Female-only (including Supernumerary),222,222,24863,42992,16588,19830,2945,3028,5788,6401,16330,17016,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,77,77,40825,49298,26724,26724,5788,6401,13135,13541,23844,23844,32
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,ST,Female-only (including Supernumerary),76,76,1106,1106,2945,3028,13135,13541,3492,3781,65466,111377,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,37654,79575,9406,10709,5788,6401,3492,3781,1873,1873,111346,111346,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),80333,89754,16721,16721,13135,13541,1873,1873,85414,93868,10969,12032,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,14533,14742,22986,43753,3492,3781,85414,93868,87674,93565,17242,17242,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),20244,20244,35964,56054,1873,1873,87674,93565,15403,16052,3894,3894,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,51018,73756,4244,6891,85414,93868,15403,16052,23844,23844,17132,33687,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),57016,82757,9332,9402,87674,93565,23844,23844,65466,110363,38533,40513,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,7971,9381,1690,2397,15403,16052,65466,106295,111346,111346,6695,6718,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6974,6974,1926,1926,23844,23844,111346,111346,10969,12032,11448,13484,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2857,3806,12714,17434,65466,96935,10969,12032,17242,17242,19216,20725,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),4931,4931,23580,25305,111346,111346,17242,17242,3894,3894,6805,8352,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,28134,34190,958,958,10969,12032,3894,3894,17132,33687,3307,3307,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),29541,35327,2566,2622,17242,17242,17132,33687,38533,39018,4404,4404,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,1016,1016,4466,4466,3894,3894,38533,39018,5698,5824,86088,101344,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5471,5752,225,225,17132,33687,5698,5824,11448,13244,116693,120480,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),6248,6248,5356,6275,38533,39018,11448,13244,19216,19475,17612,18102,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10481,11869,9937,11380,5698,5824,19216,19475,6805,8352,74852,93724,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15454,16123,384,384,11448,13244,6805,8352,2710,2710,101920,101920,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5488,6003,2819,3371,19216,19475,2710,2710,4404,4404,11348,11387,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7209,7209,4797,4797,6805,8352,4404,4404,86088,100796,14820,14820,32
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2030,2209,1585,1587,2710,2710,86088,100526,113144,116693,4189,4271,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,52020,76716,2519,2542,4404,4404,113144,116693,17612,18102,43743,49915,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),98643,111461,43129,45335,86088,99509,17612,18102,74852,93724,57453,57453,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,2182,2182,50033,50033,113144,116693,74852,93724,101920,101920,8072,8072,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,13809,14448,1862,1862,16330,17612,101920,101920,11348,11387,10335,10335,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),20413,20413,11121,11121,74852,91526,11348,11387,14820,14820,15840,16552,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,32472,69877,26553,48568,101920,101920,14820,14820,4017,4189,21195,21195,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),39603,71136,57016,57016,11348,11387,4017,4189,35751,47262,7286,8733,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,8903,10150,6050,6050,14820,14820,35751,47262,48018,48018,3392,3392,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),10082,12289,9330,9330,4017,4189,48018,48018,7705,7705,3129,3129,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1615,2574,2651,2651,35751,43743,7705,7705,9354,9354,24396,36105,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),4762,4762,16588,19830,48018,48018,9354,9354,15495,15840,47135,47179,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,32678,38628,26724,26724,7705,7705,15495,15840,20725,20725,8466,11121,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),39011,45872,2945,3028,9354,9354,20725,20725,7286,8723,24242,40192,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,6137,6385,5788,6401,15047,15523,7286,8162,3392,3392,29794,53007,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7707,7707,13135,13541,20725,20725,3392,3392,3129,3129,3855,4901,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,11810,12657,3492,3781,7286,8114,3129,3129,21741,34860,2060,2060,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),17083,17451,1873,1873,3392,3392,21741,34860,47135,47179,4212,4212,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,865,865,85414,91822,3129,3129,47135,47179,8466,11121,13095,15463,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4222,5870,87674,93565,21741,34860,8466,8854,24242,40192,23580,25305,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7296,8276,15403,16052,47135,47179,24242,40192,29794,53007,624,624,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1544,1720,23844,23844,8466,8854,29794,53007,3855,4901,2320,2506,32
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),3275,3275,65466,90622,24242,40192,3855,4901,1727,1727,4101,4101,32
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,9578,19824,101920,101920,29794,53007,1727,1727,4212,4212,5014,5600,32
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),22031,32375,10969,11539,3855,4901,4212,4212,10231,13987,9998,9998,32
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,574,574,17242,17242,1727,1727,10231,13911,21091,21187,497,497,32
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3223,5201,3894,3894,4212,4212,21091,21187,624,624,2917,3058,32
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),12155,12155,17132,33142,10231,13911,624,624,2320,2335,5879,5879,32
